Metadata_Plate,Metadata_Well,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015116,A01,12024.065737051793,239.70814363583685,9632.370517928286,88.71555174289635,2629.2788844621514,156.8468436787811
SQ00015116,A02,13440.356194690265,295.96058060049796,10858.339048672566,98.63778842145611,2828.766592920354,203.9739465417085
SQ00015116,A03,12852.528179551122,289.4787444194522,10303.81246882793,95.38079502267793,2793.503740648379,200.77714757753625
SQ00015116,A04,12824.732006125574,264.73319130345243,10306.016334864727,91.85981482722819,2762.1281265952016,179.07146960037088
SQ00015116,A05,13858.2240365774,277.3847376748769,11375.66557805356,97.53899969664846,2724.744611365121,186.0672473445222
SQ00015116,A06,14115.885854341737,310.5265373312663,11490.604341736695,103.34389663484966,2873.4110644257703,213.9506871954255
SQ00015116,B01,13613.628262253342,292.96039034833393,11062.096117122852,97.6470726985549,2795.386378103119,201.67898901533349
SQ00015116,B02,12326.838661338661,292.37779061775666,9851.401098901099,93.56233698802804,2716.035964035964,205.75893642595196
SQ00015116,B03,12173.23392943451,296.6071111794502,9688.948284195263,95.32132999471672,2725.643305944901,208.36830159485496
SQ00015116,B04,11799.542372881357,288.9432233433051,9263.134745762713,92.794506316539,2780.9550847457626,203.37492363150548
SQ00015116,B05,11729.829714772244,300.8400836735055,9161.55342699021,95.4257582601618,2814.4584929757343,212.77649535473694
SQ00015116,B06,11347.11120726958,280.5637214108999,8982.876244050194,89.35744792430398,2600.148420597144,198.32135142698766
SQ00015116,C01,12445.785951589938,287.3830872267413,9962.108210726152,92.8162843959528,2725.561936402468,201.31660548704275
SQ00015116,C02,12461.58281325012,331.39114079164756,9845.788766202593,105.47218756168508,2863.5400864138264,233.74300581788304
SQ00015116,C03,11882.151893095768,273.11807646724026,9432.527839643653,88.69164547662278,2689.3781737193763,191.06691480987686
SQ00015116,C04,10532.056128293241,287.4306224679493,8152.999236349752,85.15008545208171,2615.856051928217,209.7522606709492
SQ00015116,C05,11332.868792894631,294.18451448509234,8945.337101332258,91.91527031739652,2624.6419055308843,209.74321151439207
SQ00015116,C06,11361.657545959812,302.0768918066397,8975.516460025652,92.29832309906433,2623.702436938863,217.47400764023465
SQ00015116,D01,13469.927194860813,296.82058032471997,10856.698608137045,98.45296209278553,2860.904710920771,204.98639055534179
SQ00015116,D02,12124.43691064212,285.1958138704334,9777.13875168388,95.22179867524058,2582.665918275707,197.05607435701572
SQ00015116,D03,11909.087782805429,298.08396017818313,9433.3,93.61426498421112,2717.629864253394,211.69262228940795
SQ00015116,D04,11452.58299096138,297.2971705595177,8971.209120788824,91.91151363919788,2722.8167625308133,212.6659597992704
SQ00015116,D05,10450.608191373685,289.7871828013862,8054.774193548387,88.02652765148842,2634.4255164914825,209.35161886323917
SQ00015116,D06,10360.973723168023,289.9640500925746,8022.955218356773,87.44186516906353,2573.5266469282014,210.11983354126954
SQ00015116,E01,13021.253164556962,275.1174626264563,10443.592184920199,91.8968647745271,2824.550908090259,189.60081423582827
SQ00015116,E02,12924.944471269919,290.6536670016593,10422.708353452439,96.19262821198116,2745.481892805408,201.40667845222168
SQ00015116,E03,12514.20975399223,302.66073254198477,9968.497626240829,97.10481094413875,2790.39059128183,212.73697673832538
SQ00015116,E04,12144.03591518823,295.9969995233662,9612.993942016443,94.04533782705198,2775.6867157074857,209.17062241965377
SQ00015116,E05,10576.745404092959,287.7175519295877,8138.846340617412,87.52363869293063,2678.124176205342,207.80185414329327
SQ00015116,E06,9753.172543649434,284.9462078627556,7366.062992125984,81.4338592072349,2624.6189661074973,211.19128141844584
