Metadata_Plate,Metadata_Well,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_Batch_Number,Metadata_Batch_Date,Metadata_well_position,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_Metadata_broad_sample_type,Metadata_broad_sample_type,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015116,A01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A01,NA,NA,NA,DMSO,control,control,0.10377965184094776,-0.23384962507885712,0.14166750707774822,0.01352681859603813,-0.0742871229077344,-0.33569299550706694
SQ00015116,A02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A02,NA,NA,NA,DMSO,control,control,0.35892784265612604,0.39150794971358205,0.390360573362294,0.2697150367005617,0.18698009259560286,0.558840225607549
SQ00015116,A03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A03,NA,NA,NA,DMSO,control,control,0.25302918764201815,0.3194494652620172,0.27787243682413837,0.1856207581379288,0.1407966595660194,0.4981608563920395
SQ00015116,A04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A04,NA,NA,NA,DMSO,control,control,0.24802163899769633,0.0443534886514272,0.2783195006668285,0.0947104451232509,0.0997043066499571,0.08615908123805882
SQ00015116,A05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A05,NA,NA,NA,DMSO,control,control,0.4342077566612808,0.18500055717182545,0.49530251733209196,0.24134474735944178,0.050743460864632745,0.2189479695743384
SQ00015116,A06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A06,NA,NA,NA,DMSO,control,control,0.480626163486064,0.5534374920978045,0.5186183471095169,0.39122488538231676,0.24545054597835905,0.7482116363465509
SQ00015116,B01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B01,NA,NA,NA,DMSO,control,control,0.39014322952757363,0.3581548755847603,0.43169358384282275,0.24413514943112816,0.1432623325110035,0.5152789705403634
SQ00015116,B02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B02,NA,NA,NA,DMSO,control,control,0.1583249348674433,0.3516781223230765,0.18609881622329774,0.1386688924762812,0.039337825619862044,0.5927216368085202
SQ00015116,B03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B03,NA,NA,NA,DMSO,control,control,0.13065266662993527,0.3986954213450196,0.15314455385636555,0.18408539468647672,0.051920472883377186,0.6422507546155741
SQ00015116,B04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B04,NA,NA,NA,DMSO,control,control,0.06333121850239068,0.3134960847597647,0.06676641944048965,0.11884380888803836,0.12436180043948329,0.5474699978440495
