Metadata_Plate,Metadata_Well,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_Batch_Number,Metadata_Batch_Date,Metadata_well_position,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_pert_id,Metadata_pert_mfc_id,Metadata_pert_well,Metadata_pert_id_vendor,Metadata_cell_id,Metadata_broad_sample_type,Metadata_pert_vehicle,Metadata_pert_type,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015117,A01,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A01,DMSO,0,0,DMSO,NA,NA,A01,NA,unknown,control,DMSO,control,0.22148929231505476,0.3691701091337724,0.23718577910984245,0.1748030989060779,0.17534331405120332,0.6166765166356352
SQ00015117,A02,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A02,DMSO,0,0,DMSO,NA,NA,A02,NA,unknown,control,DMSO,control,0.3185799515388445,0.2629437296355184,0.3608342503795478,0.21320532759495378,0.062065035625891316,0.4035143581128424
SQ00015117,A03,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A03,DMSO,0,0,DMSO,NA,NA,A03,NA,unknown,control,DMSO,control,0.29771343267326156,0.4453463240607934,0.31175629563350105,0.26890582803812807,0.2467492120190695,0.674336335301268
SQ00015117,A04,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A04,DMSO,0,0,DMSO,NA,NA,A04,NA,unknown,control,DMSO,control,0.3727824668943527,0.4803408000683825,0.39879523959393504,0.3453604794962498,0.22187907032021123,0.6787576914175902
SQ00015117,A05,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A05,DMSO,0,0,DMSO,NA,NA,A05,NA,unknown,control,DMSO,control,0.16553036128398788,0.3586267788466167,0.1731693214912837,0.18335124873926578,0.18739741835343124,0.593743254391582
SQ00015117,A06,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A06,DMSO,0,0,DMSO,NA,NA,A06,NA,unknown,control,DMSO,control,0.3638069266924353,0.43909467682678316,0.3941968188037528,0.34072223187689343,0.18280731723790752,0.6090519892808914
SQ00015117,B01,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B01,DMSO,0,0,DMSO,NA,NA,B01,NA,unknown,control,DMSO,control,0.20084451477200255,-0.43524808043978025,0.23964197886999455,-0.35409114679633746,-0.011305653164607283,-0.3886101632975088
SQ00015117,B02,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B02,DMSO,0,0,DMSO,NA,NA,B02,NA,unknown,control,DMSO,control,0.1476388432207341,0.27883304028367195,0.1735550804583147,0.15106937777122756,0.04048604370251541,0.4836276731020766
SQ00015117,B03,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B03,DMSO,0,0,DMSO,NA,NA,B03,NA,unknown,control,DMSO,control,0.06684894313884007,0.3454178759865256,0.0833842098700019,0.13871267677344618,0.04158942733340434,0.6097151461145707
SQ00015117,B04,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B04,DMSO,0,0,DMSO,NA,NA,B04,NA,unknown,control,DMSO,control,-0.05899421127948182,0.31821116314553355,-0.05026868606885951,0.05448083188971493,-0.0041524540906701405,0.631798161109753
SQ00015117,B05,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B05,DMSO,0,0,DMSO,NA,NA,B05,NA,unknown,control,DMSO,control,0.018634899239241127,0.31173021420548586,0.032239180729520284,0.12459586333341918,0.02309224019873521,0.5606312799929816
SQ00015117,B06,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B06,DMSO,0,0,DMSO,NA,NA,B06,NA,unknown,control,DMSO,control,0.09663815230918558,0.37590040431225563,0.12965749006772476,0.24104579334734236,-0.05372837961600219,0.5880572346282962
SQ00015117,C01,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,C01,BRD-K25650355-065-02-0,3.7342500000000003,10,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C01,NA,unknown,trt,DMSO,trt,0.2226767577809829,0.19365056306600326,0.23460911215578287,0.11045696505793741,0.20205780649700314,0.361145033666811
SQ00015117,C02,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,C02,BRD-K25650355-065-02-0,1.2447499999990426,3.3333333333307693,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C02,NA,unknown,trt,DMSO,trt,-0.10600969077191878,0.12681145938434563,-0.08922288461534388,-0.04831180786314508,-0.10148402715878357,0.3746542455979129
SQ00015117,C03,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,C03,BRD-K25650355-065-02-0,0.4149166666682625,1.1111111111153846,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C03,NA,unknown,trt,DMSO,trt,-0.024028713217286727,0.2742810655079619,-0.001715056607968328,0.04854762103876635,-0.07472008328777396,0.556183642374577
SQ00015117,C04,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,C04,BRD-K25650355-065-02-0,0.13830555555513,0.37037037036923076,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C04,NA,unknown,trt,DMSO,trt,-0.2676873052218532,0.10642399352398332,-0.25657122525499804,-0.10126087497306417,-0.19160959251057758,0.3886611867197422
SQ00015117,C05,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,C05,BRD-K25650355-065-02-0,0.04610185185171,0.12345679012307692,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C05,NA,unknown,trt,DMSO,trt,-0.3194759345803294,0.20400559221101272,-0.321807368813105,-0.05177307460290996,-0.13653073555700837,0.5251220482189881
SQ00015117,C06,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,C06,BRD-K25650355-065-02-0,0.0153672839515275,0.04115226337692308,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C06,NA,unknown,trt,DMSO,trt,-0.3489338580661769,0.1862863074472578,-0.3476005630486454,-0.1035392054836256,-0.18754173370514582,0.5316390982084844
SQ00015117,D01,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,D01,BRD-K25837718-001-03-8,8.27995,10,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D01,NA,unknown,trt,DMSO,trt,0.23259061766190306,0.26534707069773616,0.2550238259166954,0.21257355372718695,0.13529395375593112,0.4110923046719494
SQ00015117,D02,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,D02,BRD-K25837718-001-03-8,2.7599833333312103,3.3333333333307693,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D02,NA,unknown,trt,DMSO,trt,-0.012219359470203852,0.05828621655109058,0.01703555121027783,0.008210781877508053,-0.11459916472272978,0.21148664339055745
SQ00015117,D03,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,D03,BRD-K25837718-001-03-8,0.9199944444479828,1.1111111111153846,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D03,NA,unknown,trt,DMSO,trt,-0.22851342002559022,0.1897485599989347,-0.2181780730925627,-0.04930613434838989,-0.15370201305636727,0.4931462755867761
SQ00015117,D04,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,D04,BRD-K25837718-001-03-8,0.30666481481387126,0.37037037036923076,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D04,NA,unknown,trt,DMSO,trt,-0.34356008371590474,0.2380339985973688,-0.35037433534558066,-0.09607305400385313,-0.12536393175166133,0.6142197394148828
SQ00015117,D05,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,D05,BRD-K25837718-001-03-8,0.10222160493795708,0.12345679012307692,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D05,NA,unknown,trt,DMSO,trt,-0.2099874904507435,0.12481035187311458,-0.2001851309665964,-0.04503670156251926,-0.13436490291885275,0.37703132947085743
SQ00015117,D06,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,D06,BRD-K25837718-001-03-8,0.03407386831477542,0.04115226337692308,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D06,NA,unknown,trt,DMSO,trt,-0.2889442002278173,0.19872877540471137,-0.2751396885198673,-0.03951784458340153,-0.2294523061124068,0.5044608731754007
